state,x,y
Arunachal Pradesh,243,166
Andhra Pradesh,-74,-144
Assam,200,118
Bihar,61,95
Chattisgarh,-13,-2
Delhi,-109,154
Goa,-174,-141
Gujarat,-220,37
Haryana,-129,166
Himachal Pradesh,-100,225
Jammu And Kashmir,-120,290
Jharkhand,53,43
Karnataka,-141,-145
Kerala,-120,-258
Maharashtra,-158,-40
Madhya Pradesh,-113,33
Manipur,230,81
Mizoram,212,46
Meghalaya,178,92
Nagaland,240,117
Odisha,40,-16
Punjab,-145,207
Rajasthan,-195,113
Sikkim,116,135
Tamil Nadu,-88,-226
Telangana,-75,-87
Tripura,187,57
Uttar Pradesh,-43,119
Uttarakhand,-71,192
West Bengal,105,37
